classifier,clip,category,detector,total_frames,rgb_tp,rgb_fp,rgb_fn,rgb_p,rgb_r,rgb_f1,ir_tp,ir_fp,ir_fn,ir_p,ir_r,ir_f1,clf_tp,clf_fp,clf_fn,clf_p,clf_r,clf_f1,seg_temp_segs,seg_temp_tp,seg_temp_fp,seg_temp_fn,seg_temp_p,seg_temp_r,seg_temp_f1,seg_final_segs,seg_final_tp,seg_final_fp,seg_final_fn,seg_final_p,seg_final_r,seg_final_f1,alert_events,vetoed_alerts
fnfn,flock_of_seagulls_attack_drone_beach,drone,selcom_1280,239,164,120,23,0.5775,0.877,0.6964,128,3,59,0.9771,0.6845,0.805,0,0,187,0.0,0.0,0.0,80,0,0,65,0.0,0.0,0.0,80,0,0,65,0.0,0.0,0.0,0,0
fnfn,flock_of_seagulls_attack_drone_beach,drone,selcom_640,239,125,3,62,0.9766,0.6684,0.7937,128,3,59,0.9771,0.6845,0.805,2,0,185,1.0,0.0107,0.0212,80,1,0,64,1.0,0.0154,0.0303,80,1,0,64,1.0,0.0154,0.0303,1,0
fnfn,two_birds_drone,drone,baseline_trained,150,115,130,35,0.4694,0.7667,0.5823,77,25,73,0.7549,0.5133,0.6111,0,0,150,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,0,0
fnfn,two_birds_drone,drone,retrained_v2,150,12,20,138,0.375,0.08,0.1319,77,25,73,0.7549,0.5133,0.6111,1,1,149,0.5,0.0067,0.0132,50,0,0,50,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,0,0
fnfn,two_birds_drone,drone,selcom_1280,150,134,213,16,0.3862,0.8933,0.5392,77,25,73,0.7549,0.5133,0.6111,0,0,150,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,0,0
fnfn,two_birds_drone,drone,selcom_640,150,87,95,63,0.478,0.58,0.5241,77,25,73,0.7549,0.5133,0.6111,0,1,150,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,50,0,0,50,0.0,0.0,0.0,0,0
fnfn,helicopter_compilation,helicopters,baseline_trained,554,0,140,0,0.0,0.0,0.0,0,29,0,0.0,0.0,0.0,0,28,0,0.0,0.0,0.0,185,0,10,0,0.0,0.0,0.0,185,0,10,0,0.0,0.0,0.0,8,0
fnfn,helicopter_compilation,helicopters,retrained_v2,554,0,63,0,0.0,0.0,0.0,0,29,0,0.0,0.0,0.0,0,16,0,0.0,0.0,0.0,185,0,5,0,0.0,0.0,0.0,185,0,5,0,0.0,0.0,0.0,3,0
fnfn,helicopter_compilation,helicopters,selcom_1280,554,0,166,0,0.0,0.0,0.0,0,29,0,0.0,0.0,0.0,0,20,0,0.0,0.0,0.0,185,0,7,0,0.0,0.0,0.0,185,0,7,0,0.0,0.0,0.0,5,0
fnfn,helicopter_compilation,helicopters,selcom_640,554,0,87,0,0.0,0.0,0.0,0,29,0,0.0,0.0,0.0,0,25,0,0.0,0.0,0.0,185,0,9,0,0.0,0.0,0.0,185,0,9,0,0.0,0.0,0.0,4,0
