source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,baseline_trained,S0_detector,small,0,0,0,0,166,0.0,0.0,0.0,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,baseline_trained,S0_detector,medium,5,0,9,14,166,1.0,0.3571,0.5263,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,baseline_trained,S0_detector,large,128,5,20,148,166,0.9624,0.8649,0.911,
video_persize,video_drone_flock_of_seagulls_attack_drone_beach,baseline_trained,S0_detector,small,13,0,43,56,239,1.0,0.2321,0.3768,
video_persize,video_drone_flock_of_seagulls_attack_drone_beach,baseline_trained,S0_detector,medium,89,6,2,91,239,0.9368,0.978,0.957,
video_persize,video_drone_flock_of_seagulls_attack_drone_beach,baseline_trained,S0_detector,large,40,3,0,40,239,0.9302,1.0,0.9639,
video_persize,video_drone_two_birds_drone,baseline_trained,S0_detector,small,60,20,20,80,150,0.75,0.75,0.75,
video_persize,video_drone_two_birds_drone,baseline_trained,S0_detector,medium,55,109,15,70,150,0.3354,0.7857,0.4701,
video_persize,video_drone_two_birds_drone,baseline_trained,S0_detector,large,0,1,0,0,150,0.0,0.0,0.0,
video_persize,video_birds_birds_flying_overhead_various_sizes_short,baseline_trained,S0_detector,small,0,3,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_birds_flying_overhead_various_sizes_short,baseline_trained,S0_detector,medium,0,29,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_birds_flying_overhead_various_sizes_short,baseline_trained,S0_detector,large,0,7,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_birds_in_slow_motion_flying_various_sizes_compilation,baseline_trained,S0_detector,small,0,30,0,0,271,0.0,0.0,0.0,
video_persize,video_birds_birds_in_slow_motion_flying_various_sizes_compilation,baseline_trained,S0_detector,medium,0,215,0,0,271,0.0,0.0,0.0,
